,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49
gene_10,0.5918709,0,0,0,0,0.5154097,3.1739269,0.4418022,1.4113178,0,0,2.4496406,1.12201,1.4136482,0,0,0,0,0,0,0.4462562,0,2.2576443,0,0,1.0415934,0,0,0,1.5315686,0.439038,1.8459516,0,0,0,0,1.0783366,1.8570255,0.4330663,0.522558,2.1270059,2.1185591,1.7482036,0,0.7532622,0,2.1796703,0,2.9416885,0.6331987
gene_11,1.3342822,0.587845,0.4525954,0.4348817,1.2758414,0.5154097,1.4767964,0,1.2528395,1.2041407,1.9995671,1.0214087,1.565987,0.5018213,0,1.2275563,2.6406441,1.0775165,0.4011936,1.2753051,1.4918018,0,4.2014692,0,0.5206485,1.757706,0,0.4889263,0.7905218,0,1.8030617,0,0.8285503,2.3795932,0,0,0,1.8570255,0,1.4574367,1.4244384,1.417542,2.3022898,0,1.0204133,0,0,1.9725089,1.931267,1.4075703
gene_12,2.0153905,2.466601,1.981122,2.8742461,2.1412039,2.5167968,3.0238408,2.4058562,2.5799766,2.2963106,3.3819616,3.1530919,2.6982629,2.4792823,2.8962137,3.3773737,2.7192053,2.2330597,2.4564382,3.3214664,2.7654711,3.2505372,2.5648171,3.17728,1.9355352,2.3130426,2.759582,2.7329204,2.6943231,2.1592417,2.4914683,1.7095112,2.7695602,2.8690423,2.8157189,3.6920924,2.8677384,2.1688987,4.2097575,2.4236857,1.4244384,3.5341861,2.9420453,2.6623422,2.842114,2.7697506,4.0778411,2.2189671,3.068086,3.587281
gene_13,0.5918709,1.0043935,1.0741629,0,0,0,0,0,0,0,0,0,0.4773665,1.168642,1.4803685,0,0,0,0.7147511,0,2.5140717,0.4720718,3.5811343,0,0.5206485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_14,0,0,0,0,0,0,0,0.7795539,0,0,0,0.7541179,0.4773665,0,0,0,0,1.6874191,0.4011936,0,0,1.5537045,0,0,0.7242137,0,0,0,0.4486896,0,0,0,0,0,0.6315234,0,0.7999991,0,0,0,0.7429548,0,0,0,0,0,0,0,0,0
gene_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_17,0,0,0,0,0,0.8942939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6388616,0,0,0,0,0,0,0,0
gene_18,0.5918709,0,1.6830227,1.267356,0.8897072,0.8942939,9.4668779,0,0.6353365,0,1.6516832,8.732354,0,0,0,0,0.7639214,8.8053473,7.4333768,0,3.1063651,6.4738242,0,0,10.3122704,1.3716704,0,2.4429966,0.4486896,0.3952822,0,1.2000021,7.5574484,0,1.4046307,0,9.1617517,3.1485762,1.4596414,1.207643,10.5382083,0,1.1241296,8.3201507,9.4950615,0.5704629,0,0,4.2162298,0
gene_19,5.619994,11.055208,8.210248,8.306317,10.14915,6.842765,7.4242,7.373431,10.147625,7.85678,7.965224,9.796182,9.217032,8.526534,7.993499,8.392201,10.103576,8.31715,10.602717,7.890471,8.923743,10.199182,9.986724,7.6483,10.91369,9.708972,6.944554,9.087505,9.380355,7.34026,10.537752,10.419065,9.973496,7.729587,7.831624,9.133083,10.441035,9.107863,7.934605,7.122911,10.072508,7.534505,8.819058,7.924379,9.110076,10.854292,6.691855,8.617963,10.189046,9.517039
gene_20,1.3342822,3.562621,4.1952846,3.5735563,2.9676298,2.8096614,1.2249664,2.3048615,4.2879081,1.2041407,2.1463945,4.8483175,3.4334803,0,2.7503064,3.7087501,5.6799361,3.8026689,1.1906149,2.9315318,4.1728635,1.7324429,5.4129034,1.3406192,2.8247679,5.0452289,2.9512148,1.5931625,2.7734267,3.5886367,2.7420925,4.021915,2.499578,2.9692518,3.2074712,2.8572844,1.8455101,4.5685976,5.113017,0,4.2621249,2.7161129,3.8839433,3.6416963,3.7744497,2.6070343,1.4673838,3.8237799,3.4394636,3.3738431
gene_21,0,0,3.660426675,0,0,4.002900506,0,0,4.773827579,5.784391432,0,0,0,0,4.240459355,5.539741976,6.363405899,0.768247855,3.758740227,0,2.700994494,0,3.84231514,0,4.530052009,5.297180409,0,4.578612712,2.294929471,4.850529417,0,0,0,0,0,5.964583463,6.015111706,4.71983508,2.382639588,0,5.543338119,0,5.609211249,0,4.792277534,6.151065262,2.179670279,0,3.068086048,4.085594615
gene_22,9.796088,10.07047,8.97092,8.524616,8.047238,7.663935,9.97364,8.922008,8.343976,6.020051,8.115408,8.614732,8.174142,10.717848,9.580091,8.25743,9.097097,7.697197,8.026241,8.368799,10.103353,8.697826,6.329574,9.803679,6.517632,8.75864,7.16366,6.926296,6.143283,6.116645,9.477062,7.994201,7.268977,10.458078,8.499025,9.561641,7.304785,7.941206,9.160698,10.401903,7.375378,8.39154,8.420895,8.926281,7.65498,8.363443,11.153083,7.783575,8.143358,8.363587
gene_23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_24,0,0,0,0,1.435948565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.249339145,0,0,0,0,1.676538227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_25,1.598651,0,0.7965978,0,0,1.1941501,0,0,0,0,0,0.7541179,0.4773665,0,0,0,1.0336521,0,0,0.5592471,0,0.82725,0,0,2.4760446,1.757706,0,0,0,0.960141,0,0,0.4729036,0,0,0.6488335,0,0,0,0,1.8853791,1.6908193,0.4784024,0,0.4252444,0.5704629,0,0,0,0
gene_26,7.2151155,9.9498121,6.0966498,3.9137607,1.9421203,0.8942939,0,5.1455267,6.0803741,0.7242137,3.920036,0,2.7829117,1.4136482,0.4414835,2.5654753,4.5230224,0,0,5.1135172,0.7865964,1.1119661,7.1581653,5.4311415,0,1.757706,0.5665716,2.5462401,5.712626,2.4362152,1.8030617,0,0,2.2260152,2.9240619,1.4348817,0,3.284218,0,5.2353135,0.4187836,4.6412801,3.9588148,0,0,1.5558162,2.1796703,1.3000065,1.7916891,3.3738431
gene_27,10.83907,8.522476,9.861616,9.511573,8.821535,9.628387,9.508977,9.406279,7.600537,9.871312,9.540533,9.501147,9.30999,11.25076,9.03072,8.472504,8.267639,9.691972,9.223968,9.641822,7.433101,9.169707,9.528491,8.820045,8.054816,9.329198,9.569892,8.81254,8.365063,8.374679,9.574493,6.656821,8.613425,10.414305,10.257341,8.745392,9.015513,9.089461,9.403016,9.994806,9.195697,9.740786,9.781812,9.609009,9.366095,8.781894,9.843791,9.492714,7.951699,9.111308
gene_28,6.6202037,1.1747899,7.6805072,6.4691648,5.8614294,7.220446,4.4854204,4.6647104,2.8249307,6.1181043,7.6172985,6.6954789,6.6299278,4.9324959,7.4688684,7.4022191,5.0943079,3.8772338,3.1723915,6.2534013,1.6667112,2.0346383,5.1152455,7.1340566,4.3768599,2.7130359,0.5665716,4.2896648,3.0525202,3.0441668,6.5464176,4.6251653,2.9968949,5.9284982,6.526061,5.244537,4.5380725,9.5119206,5.6542379,5.5629476,6.0072179,8.3178919,6.8508994,5.3053979,5.4087458,4.7904958,7.8812669,0.7916891,5.8220953,4.8353279
gene_29,9.513538,4.926991,3.119439,7.029895,7.755709,7.012759,8.633177,5.705193,4.934233,6.284211,8.353231,5.583609,5.125721,8.156048,8.245191,7.690284,4.7565,5.375672,5.423272,3.62812,6.098295,4.598651,7.981533,9.033159,3.570876,6.667935,4.742653,9.842823,5.239356,6.453577,7.029353,5.493702,6.176129,8.867297,5.281387,7.168602,5.395005,6.649694,7.558168,9.249557,4.764144,5.88482,7.309404,6.556955,5.72143,7.117892,7.763325,4.4593,6.42824,8.313019
gene_30,0,0,0,0,0,4.9367039,0,0,0,0,0,7.5968234,5.3155481,0,0,0,0,6.991125,7.8389392,0,0,3.5656094,0,0,9.4347929,0.8430995,6.9218409,0,0,0,0,0,5.0863804,0.6092822,0,0,4.0172271,0,0,0,8.1217096,0,0.4784024,6.4104005,6.9982294,0,0,7.4512771,0,0
gene_31,4.0636582,0,0.4525954,1.267356,0.6493855,1.44228,0,6.454625,0,5.0703807,0.5144,0,3.0791221,0.8734195,0.4414835,0.9218171,1.4570164,0.4542812,0,0,0,0,0,0,0,1.3716704,0.5665716,0,0,0,0,0,0,0,3.709445,0,1.512328,1.458592,0,0,0,4.0037641,2.6116681,0,0,0,7.2303664,0.7916891,3.1842803,8.1975214
gene_32,7.764805,5.819832,7.899526,6.800641,5.570241,8.002236,5.8994,7.012714,5.244617,5.907184,7.342919,6.332311,6.754727,7.041024,5.618142,5.151347,7.092778,6.445823,6.782278,6.598581,6.919638,6.060175,4.906963,5.741621,10.250559,6.847233,7.769864,5.568728,6.028881,8.662416,6.615078,6.306124,7.236502,6.735725,7.723135,7.399094,8.161696,5.63116,6.679114,7.430804,5.668896,7.168782,6.908609,8.361514,7.265146,6.207401,5.734729,8.21274,6.720456,6.256426
gene_33,4.7476559,1.32717,0,7.7427136,2.6128007,2.0020184,0,5.1455267,9.4643293,0,2.1463945,0,5.677962,0,0,1.2275563,0.4319973,0.4542812,0,4.7317155,3.4312218,0.4720718,0,1.103934,0,1.3716704,0,1.5931625,9.7392794,4.6947465,1.0475384,0,0,2.8690423,4.8026327,4.8205466,0,0,2.5609839,2.1674543,0,4.317702,4.66566,0,0,2.7697506,0,5.2309869,1.4639886,2.2799764
gene_34,13.714396,13.28624,10.731098,12.659474,13.556734,14.021153,15.597753,16.798586,13.531004,12.578644,13.927871,15.146887,13.839155,12.882658,11.795273,13.915562,13.265291,14.898658,15.576561,13.452164,13.056401,13.885115,15.647259,9.710345,14.930917,16.969398,12.054272,13.43262,12.357711,12.033203,12.773279,12.837894,15.818265,14.522024,14.159398,13.069077,14.942927,15.766314,13.231883,13.027597,15.154707,12.343019,14.465968,14.566708,15.658401,13.298907,13.990184,10.382159,13.012268,14.149715
gene_35,10.034496,6.663316,6.967883,8.29989,8.004754,9.126059,10.909466,10.113911,5.944411,8.285411,8.788738,9.859393,9.327708,11.437622,8.18493,9.367764,7.043312,10.125336,10.343375,8.5994,5.390963,10.240398,7.783751,10.128007,9.886221,9.059117,6.904568,6.474884,9.601082,6.335128,7.896145,6.221676,9.300625,9.481012,9.090671,8.459173,10.311158,8.725332,9.324055,8.417583,9.930351,9.346822,9.242693,10.663843,10.861963,7.572821,9.89818,4.094641,7.514517,8.955118
gene_36,0,0.587845,0.4525954,0.7685866,0,0,1.4767964,1.0530418,0,0,0.8928184,3.5412546,0,0.5018213,0,0,1.0336521,4.9532932,3.8545842,0,0,0,0.8126214,0,4.7590759,1.3716704,0.5665716,0,1.6731041,0.7051375,0,0.9804641,1.1135672,0,0,0.6488335,4.7113242,0.9062749,0.7657045,0,5.3122876,0,0.8371359,4.281854,5.4658145,0.7886857,0,0,0.434775,0.6331987
gene_37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3386811,0,0,2.0987901,0,0,0,0,0,0.6315234,0,0.7999991,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_38,9.833458,9.533302,9.646323,9.670731,9.587569,9.962887,9.145458,9.349567,8.542196,9.292131,9.975074,9.35376,9.686054,9.775964,10.078418,9.006795,9.348766,9.34147,9.187941,9.793473,9.260294,9.280731,9.379166,9.390416,8.755435,9.318475,9.733709,9.082146,9.499306,9.988869,9.49424,8.95506,8.922266,9.596171,9.590424,9.140359,9.018609,9.3377,9.980539,9.865747,9.106835,9.911567,9.597114,9.310456,9.475744,9.344664,9.781494,9.968537,9.595114,9.055635
gene_39,0,0.8111422,0.4525954,0.4348817,0.6493855,0.5154097,2.191152,0,2.1108643,2.77989,0,5.375321,0,1.168642,0,0,0.7639214,5.8111987,2.689411,0,1.0617071,2.1648828,0,0,2.4760446,0,0,0,0,0.3952822,0.7750927,0,2.8493988,0,0,0,0.4547023,3.8189528,0,0,3.5161665,0,0,5.0791093,4.2346929,0.3132459,0,0,2.7285518,0
gene_40,10.861265,9.728152,10.053424,10.264619,9.860651,11.134356,8.634245,9.276434,9.298044,9.394911,8.794315,8.359736,9.830997,10.05856,10.382678,9.261392,9.652058,8.961319,9.324066,10.546788,9.468021,9.009879,8.76048,11.147726,8.759782,10.010066,10.086269,10.355043,9.76854,11.242388,10.034455,9.601526,8.7907,9.314783,10.268308,9.195896,9.498223,9.202951,9.709666,9.846039,8.7177,10.377482,9.550212,8.967042,8.023311,9.681462,9.02719,10.499746,9.49036,9.774673
gene_41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7639214,0,0,0,0,0,0,0,0,0.6127771,0,0,0,2.9879575,0,0,0,0,0,0,0,0.9062749,0,0,0,0,0,0,0,0,0,0,0,0
gene_42,0,0.3236583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4462562,0.4720718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9054279,0,0,0.4784024,0,0,0,0,0,0,0
gene_43,0.5918709,0,0,0.4348817,0,1.44228,1.2249664,1.4810406,0,0.7242137,0,0.7541179,0,0,0,0,0,0,0,0,0,0,0,0.4679055,0,0,0.5665716,0,0,0.3952822,0,0,0,0,1.6765382,0,1.8455101,0.9062749,0,0,0,0,1.1241296,0,0.4252444,0,2.1796703,0,0,0
gene_44,1.0102786,2.6512239,0,1.9314183,0,0,0,0,0.3523066,0,0,1.0214087,0,0,0,2.1946544,2.1669403,0.4542812,0.4011936,0,0,1.349705,2.0092397,0,0,2.8250325,2.759582,0,0.7905218,0,0,2.7035659,0,3.1509333,0.6315234,0,0,6.4945532,0.4330663,2.6411992,0,0,0,0.4956952,1.0204133,0,0,0,1.0392788,1.4075703
gene_45,6.96285,6.698691,7.592345,8.890292,4.44307,8.118645,6.336351,6.822042,7.89355,10.680729,4.279575,6.211801,8.489571,4.331763,3.508822,5.649472,5.756455,7.048716,6.254456,8.009241,6.724623,4.347474,5.450825,2.669934,6.799592,7.614894,7.149066,2.54624,8.483026,8.737349,3.786952,5.614863,4.669021,3.973942,7.26879,3.488194,6.484775,7.561884,3.523863,7.034392,5.961163,8.979056,6.880086,6.53045,5.889452,6.537709,7.75727,7.292138,6.497328,5.823938
gene_46,10.959705,9.830935,9.971069,10.639305,10.391297,10.327822,8.322897,9.641911,9.796883,9.426695,9.977538,9.060112,10.14962,11.345372,10.983186,11.041276,9.950146,8.783702,9.155863,10.311169,11.10317,9.78107,9.807123,10.888172,9.565915,9.363217,9.382985,10.208783,10.489918,10.937124,11.500374,10.770689,9.603689,10.359376,9.778074,11.338664,9.255697,9.770588,10.223785,10.90822,9.037325,9.960788,10.300272,8.950396,9.104696,10.63004,9.365074,10.073097,11.171809,10.257553
gene_47,9.769509,8.818521,9.286537,11.484455,10.050121,10.138029,9.931445,10.719132,10.618597,10.332428,9.375407,10.237174,10.336685,8.261023,10.212448,9.999732,10.021174,9.481014,10.335524,10.499906,9.88292,9.460345,9.308639,10.121067,10.322345,9.922293,11.393793,9.232915,9.193422,9.00053,9.554846,10.000042,10.328058,9.385632,9.806664,10.193267,10.594129,9.929053,9.803083,9.374311,10.421886,10.57271,10.752991,9.302047,9.528931,10.117838,10.384125,8.763408,9.409094,9.986937
gene_48,12.245404,11.505623,11.925996,12.107707,11.218345,11.940526,10.927741,11.500747,10.599178,11.543607,11.527399,11.239658,11.16632,11.473102,11.811628,11.040358,10.904145,10.158887,10.874397,11.704094,8.724275,12.143147,11.255412,11.390862,11.022437,10.811993,11.642183,11.680575,11.228674,10.604498,12.080261,10.199071,10.879912,11.751841,11.840011,11.279912,11.018068,10.858028,11.731731,11.650316,11.196959,11.596055,11.594982,11.306415,11.035521,11.089205,11.209557,11.354894,11.204003,10.756498
gene_49,0.5918709,0.3236583,0,0,0.8897072,0.8942939,1.8777442,1.0530418,0,0,0.5144,1.2468337,0,0.8734195,0,0,0,0.799336,0.7147511,0.5592471,0,0,0.4627853,0,0.7242137,1.0415934,0,0,0,0,0,0,0.4729036,0,0.6315234,1.094709,1.0783366,0,0,1.207643,1.0074826,0.6388616,1.1241296,1.1571084,1.2456782,0,0.9127265,0.7916891,0,0.6331987
gene_50,8.968828,9.314758,8.901069,9.090515,9.05995,9.461764,8.637349,8.421232,10.056299,9.539657,8.685758,9.260635,9.303701,8.002444,8.112121,8.452254,9.016608,8.703955,8.427732,9.056052,6.689579,8.691046,10.027367,7.959382,8.667892,8.852164,8.939946,8.541306,8.722394,8.459698,8.632334,7.309604,8.550628,8.951159,9.058268,8.808877,8.858382,9.202888,9.094798,8.843497,9.202939,9.427229,9.124201,8.58169,9.175602,8.632065,8.672015,8.628128,7.81628,8.877606
gene_51,10.1753,8.95127,8.905907,8.846863,9.145,10.273306,9.580449,9.659914,7.73212,9.052766,9.354787,9.216477,9.098187,9.596113,9.518039,8.735769,8.88659,8.801763,9.366027,9.436308,7.293407,8.929682,8.720939,9.559645,9.47808,8.477293,8.600675,8.968232,8.938409,8.724507,9.162998,7.144128,8.834269,9.601059,9.862199,9.004998,8.741008,8.812068,9.176497,10.18371,8.838318,9.608046,9.534233,9.504565,9.262802,8.555141,10.260861,9.940908,8.975235,8.850518
gene_52,12.399064,12.356047,11.859453,12.355698,10.934067,12.099585,11.22749,11.617215,11.458125,10.876555,10.951758,11.492449,11.497058,12.841063,11.08514,10.618486,11.577297,10.770284,11.331018,11.864202,11.158212,13.50462,11.259202,10.526069,11.242341,11.489236,11.164813,12.123905,12.683789,11.480588,11.510433,11.071563,11.766641,11.101667,11.738865,11.51025,11.210367,11.261443,10.773419,11.45507,11.477313,12.076144,11.564774,11.288555,10.917484,11.408558,11.597573,10.975174,12.051345,11.746393
gene_53,8.479877,10.337444,9.487277,9.506696,9.881671,9.703118,9.613668,9.582471,9.555191,9.537164,9.879834,9.978067,9.490713,8.382896,10.14152,10.037053,8.866228,10.188935,9.982851,8.928329,11.682196,10.523719,9.986183,10.160729,11.026807,9.537723,9.540374,8.785096,9.371639,10.649903,9.371023,10.803526,10.00266,9.14841,9.394814,9.368183,9.922344,9.753155,8.917966,8.696404,10.027132,9.329438,9.294205,10.083692,10.107426,9.467856,8.933941,8.989829,11.692541,10.478669
gene_54,7.355765,8.010148,8.683465,8.409925,8.169078,8.100704,6.436288,7.443408,8.437881,8.19843,8.056269,8.053524,8.610301,6.679593,7.748911,7.805544,8.53669,7.839204,7.732039,8.167303,8.79073,8.005086,8.175924,5.791973,8.472618,8.158514,7.420162,7.84135,8.176004,8.085988,8.320408,8.402304,7.743919,6.722083,7.803531,8.385142,7.693633,8.177355,7.559507,7.873739,7.947631,8.242936,8.027513,8.094189,7.726784,8.979191,5.9723,7.589127,8.235473,7.825881
gene_55,8.331051,8.192377,10.084117,8.101676,7.295227,8.610534,8.926326,8.995753,7.916859,8.774253,7.585473,9.018698,9.250855,5.325732,6.258255,8.227606,8.084968,9.865716,7.774912,7.855504,7.568747,6.349197,8.334769,6.579482,8.483171,9.539775,5.700054,7.601719,5.28327,5.666617,5.376572,7.70003,7.417144,6.792166,7.665961,6.03861,8.579912,8.713362,7.31819,6.406253,9.317982,9.027605,9.794006,8.085499,9.444141,7.673931,8.678248,7.797869,6.343355,8.659304
gene_56,10.643459,11.12511,10.374181,9.473527,10.379335,10.395149,10.213542,10.021952,9.727495,9.808712,10.523278,10.635818,9.942141,10.382808,11.180363,9.724955,10.844047,10.174227,10.341597,10.057911,9.204657,12.031908,10.14929,10.350917,10.662197,10.074503,10.783342,10.480114,10.213627,10.744388,10.239348,8.241526,10.524375,10.738346,10.54564,10.598164,10.396915,10.16595,10.181351,10.657211,10.33577,9.725678,9.971184,9.959672,9.598207,9.678477,10.283517,10.621915,11.090834,10.29978
gene_57,6.821225,6.090792,6.033123,3.979586,6.703087,8.292851,6.926925,6.551654,5.561366,6.822004,6.046956,6.570783,5.994243,7.849712,4.87209,5.736756,6.073036,7.052742,6.62157,6.198926,3.106365,6.52324,6.118046,6.847696,6.034396,6.486196,7.407956,6.293856,4.396824,5.927901,6.938192,3.508365,6.579787,5.25963,6.508763,4.791262,7.625672,6.535916,5.550618,5.16684,6.624627,6.942585,9.05641,6.860752,6.95104,4.700523,7.541863,8.9987,5.190848,7.79042
gene_58,10.637494,6.803111,10.901433,10.144658,9.346175,10.318147,5.803157,9.212523,7.404844,10.817847,10.016237,9.573782,10.209149,8.526534,11.810909,11.973705,8.757557,8.281555,9.419016,10.532093,9.055385,6.88164,6.149131,10.923892,9.160716,9.348066,8.628996,10.482969,5.630009,5.882381,9.217454,11.532395,7.548506,10.719586,8.994537,7.508959,9.156141,8.274229,11.159909,10.951474,7.658768,11.943061,10.105987,7.83394,8.8272,8.896447,9.87667,8.617963,9.769782,7.602795
gene_59,3.3403914,0.587845,3.6349765,2.4785318,2.8010966,4.1140338,4.1289367,3.9404769,2.3644043,3.0306892,4.6919473,4.9318154,3.2671612,2.2461344,1.6545272,3.9365249,3.2819653,5.2358649,2.2772111,1.7517208,1.0617071,0.82725,2.8179097,0.8207304,3.6206685,6.4074309,4.0766446,3.0464387,2.7734267,1.1767057,3.2533237,2.1915627,3.3660284,4.9762811,3.444243,0.6488335,4.6487645,4.3996291,4.0359318,3.3458647,3.920884,3.6666657,3.1480718,5.2756217,4.5198124,2.8688645,3.2966189,5.1441688,1.931267,2.1062813
gene_60,6.79227,6.340835,7.290839,6.83701,7.185203,7.121295,6.291565,7.19175,7.251634,7.457315,6.737065,6.067951,7.246589,4.82755,6.317615,7.348799,5.423222,6.463902,5.677043,7.324334,8.047124,6.457775,6.303215,6.512344,6.309891,6.752187,6.291944,7.451269,8.31725,6.604368,7.396031,7.634876,5.436698,6.837275,7.078503,6.429643,5.742122,6.634797,6.717238,6.544708,5.741807,6.915736,7.404324,6.470473,6.525781,7.410434,6.127518,6.573753,6.206645,6.473589
gene_61,1.0102786,3.4998459,1.6830227,1.6372393,8.9306161,0.5154097,2.0429244,0.4418022,6.9195189,4.0572683,3.9602986,4.9479513,1.12201,0,1.0524855,10.2475359,8.9223198,5.4573021,5.1678035,1.9415195,9.634517,7.6438057,1.0939658,5.530155,5.4243444,3.4667054,0.5665716,3.7980194,7.9132365,10.5839102,4.3618245,10.1297467,6.0733254,9.170944,0.6315234,8.5139881,2.8677384,6.6023247,6.6896207,8.9364112,7.4271117,2.7161129,0.8371359,5.0256313,6.2231503,7.964647,0,6.2537284,9.9943393,6.8391912
