gene,N1,N2,N3,N4,T1,T2,T3,T4
LPCAT2,30.0244,74.51619,53.5725,70.9678,141.129,504.735,360.52485,136.9977
LTBP1,29.8679,34.40052,32.6385,32.7624,47.2461,66.90306,70.609875,112.61145
SEMA3G,29.3291,9.689778,8.89327,9.22836,17.9816,3.1882935,6.7000605,4.2684705
TIMP1,29.3025,38.69775,59.2578,36.855,154.467,430.8003,321.32415,293.3427
SERPINH1,29.2952,31.027815,26.4824,29.5503,73.6522,273.62055,138.25875,142.2855
THBS1,29.2248,78.47784,55.8962,74.7408,78.4882,90.438285,166.0092,212.6733
OSTC,28.4838,42.32865,32.6492,40.313,55.1952,138.8205,93.3093,99.290205
IKZF1,28.4291,33.30558,47.2519,31.7196,5.64662,3.3008745,4.8744675,2.345994
CALU,28.2707,32.014185,24.2561,30.4897,57.7496,149.247,124.5867,164.0625
UNC13D,27.6569,23.26254,38.8593,22.1548,5.15924,3.0887535,4.435914,3.1272465
NBEAL2,27.5453,30.71313,34.7405,29.2506,6.95641,3.691485,4.8486795,4.8609225
BTNL9,27.2423,15.42282,16.6168,14.6884,22.4482,2.12268,3.1253145,2.2930215
TSPAN32,26.7419,29.51844,26.0144,28.1128,4.24404,1.3576395,2.9628165,2.7085065
DENND3,26.6774,38.713605,44.8444,36.8701,14.4176,10.4153805,14.44023,14.818335
CTGF,25.3851,33.621945,29.6027,32.0209,329.73,181.4127,510.04695,826.1337
VRK1,25.3091,26.43396,38.4743,25.1752,8.90433,5.447673,9.309363,5.983236
COPZ2,25.2112,20.82507,9.25973,19.8334,49.1872,154.05915,91.35756,114.5172
BMP5,24.5137,22.47357,22.2539,21.4034,19.4487,0.9404136,3.204243,2.815533
AGTPBP1,24.3334,24.821895,37.1482,23.6399,12.2229,8.5518825,7.85988,6.5972235
GPNMB,24.275,39.399465,15.5844,37.5233,67.6069,114.8511,146.42565,74.188485
CD9,24.2583,26.22627,21.3196,24.9774,110.119,118.80435,205.8273,256.47405
CTSF,23.8411,15.98373,11.4687,15.2226,48.2468,39.69294,40.109895,67.95369
PLOD2,23.6397,14.091945,6.28328,13.4209,82.4697,159.3207,75.617535,297.05445
GJA1,22.9951,39.70638,19.7524,37.8156,72.0552,367.8381,140.95515,192.3978
COL5A2,22.7014,52.846185,13.8923,50.3297,159.74,873.70185,420.45675,615.8502
PDE4DIP,22.0532,14.398125,14.3678,13.7125,41.8072,61.933515,34.8747,71.17068
MFGE8,21.6453,19.838385,15.1014,18.8937,88.7765,71.30613,71.967735,185.1192
RRBP1,21.303,21.905625,20.9742,20.8625,40.1627,98.50491,66.34404,110.49885
ISLR,21.2982,11.63274,16.333,11.0788,49.9781,97.86756,93.115995,123.3309
ACKR3,21.2211,13.17141,11.7819,12.5442,56.447,40.970265,25.405485,94.166205
RASGRP2,21.2022,25.939935,40.0288,24.7047,7.79782,5.405547,6.147498,4.158546
MPZL1,21.0181,24.74283,19.3404,23.5646,52.1983,97.079535,73.12389,82.37271
MEPE,20.7834,26.98416,40.6535,25.6992,38.2624,61.837335,64.10649,88.116315
CD55,20.5632,25.10802,59.2774,23.9124,51.538,43.137885,58.149315,106.5813
BDH2,20.2836,51.09489,22.2715,48.6618,125.378,147.36015,151.2609,144.9693
LEP,20.1701,7.3151715,2.20018,6.96683,6.06834,0.5103777,0.09972438,0.1894116
FXYD2,20.017,20.682795,20.2861,19.6979,68.7015,103.51299,57.876525,147.6594
ARIH1,19.8303,19.566015,25.3443,18.6343,17.8835,18.369645,38.63307,19.52664
TRAF3IP3,19.5807,20.303955,32.7025,19.3371,6.04543,3.7624125,2.9577345,2.5214385
LST1,19.4782,23.46981,44.2234,22.3522,4.8217,3.646671,5.5850025,4.7317515
NPY1R,19.4659,6.897975,6.99241,6.5695,7.81586,0.92101065,1.092063,0.4894344
MATN2,19.4588,10.0439115,7.75602,9.56563,34.9844,80.01189,52.234245,81.088035
WWP2,19.3968,17.13306,25.1003,16.3172,73.1934,83.230245,32.24529,135.94455
SEMA3C,19.3056,20.740545,10.0119,19.7529,47.1121,80.960565,40.319685,82.298265
S100B,19.2355,13.02315,4.96431,12.403,54.1084,21.764505,21.43806,61.803945
CHI3L1,18.9103,8.6474325,58.2827,8.23565,12.275,28.102935,41.718075,65.86944
ANGPTL2,18.7793,11.8167,8.43229,11.254,92.4399,133.36575,104.068755,422.5914
GPD1L,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
GOLGA2,18.449,17.751825,16.5455,16.9065,24.5313,36.469755,34.1817,52.264065
IGFBP6,18.4154,7.6983165,6.74002,7.33173,54.426,33.366585,81.5577,90.46485
MMP14,18.3853,19.29669,13.2485,18.3778,47.6758,189.11655,116.0019,107.3961
PCOLCE,18.1452,45.07524,21.0597,42.9288,137.355,468.2727,283.6281,389.59095
CTSK,18.1212,194.42955,19.5018,185.171,835.497,1593.732,1210.881,1009.60965
ITGAV,17.863,18.28386,11.3209,17.4132,46.7575,99.93354,78.3636,81.558435
PPFIBP1,17.8027,14.97237,12.2765,14.2594,39.1614,53.299575,35.13069,47.43627
COL12A1,17.7778,38.61354,12.691,36.7748,49.2746,321.4575,145.9395,109.31865
PCDHGA1,17.6426,18.41427,12.2827,17.5374,39.5066,61.337535,52.719555,68.55303
MYB,17.3919,24.293325,40.433,23.1365,0.318033,0.30585345,0.68092605,0.03256092
EYA1,17.0973,13.03974,16.8774,12.4188,13.2967,1.3857585,4.56393,2.801253
CDO1,16.6951,8.63625,3.88447,8.225,124.662,18.334995,70.47705,127.53825
EDIL3,16.6811,14.57589,8.73208,13.8818,88.6642,128.7615,107.6019,164.89935
"ENTPD4,LOXL2",16.6231,18.769065,16.2718,17.8753,19.4484,80.17464,37.82205,89.776575
FAM114A1,16.4059,14.67333,10.157,13.9746,33.9356,70.23282,59.610075,98.04207
FMOD,16.3054,14.870415,10.2944,14.1623,302.807,359.19135,296.47485,1528.506
LRRK2,16.1275,18.413535,24.3896,17.5367,8.29,4.280241,5.8700565,3.4265175
UBAP2,15.9562,14.71722,258.454,14.0164,24.4149,16.854285,22.268505,20.749995
GAPT,15.7978,17.85987,42.1524,17.0094,2.51252,0.99838095,2.9281455,0.5998776
MYO1B,15.665,27.396075,11.2039,26.0915,49.2162,100.15614,91.148505,77.983815
PGM3,15.6376,23.71992,9.03463,22.5904,26.8264,55.635615,23.167935,52.089555
UAP1,15.5432,21.069825,12.6268,20.0665,31.7815,41.663055,55.137285,105.7035
P4HA1,15.4126,22.406055,12.845,21.3391,54.8611,124.3914,54.758655,140.9709
AC187652.1-FAM20C,15.373,19.988955,14.3801,19.0371,43.6896,52.749165,52.40424,59.522085
MRC2,15.2022,31.88598,31.6111,30.3676,47.7437,143.0016,95.388405,143.08455
CD300LG,14.7369,12.052635,11.2737,11.4787,20.0292,2.0354775,3.8853045,0.6249852
FAM46A,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
TRPS1,14.1292,14.024115,10.777,13.3563,54.1198,77.0805,60.956175,151.4247
LRMP,13.9604,18.91554,23.6342,18.0148,6.32682,4.964211,3.521238,3.7865415
SGK1,13.9069,15.11265,21.687,14.393,34.1047,45.035025,36.00807,91.161105
SULF1,13.8743,14.636685,13.7438,13.9397,75.9448,102.3729,107.2365,220.34355
CCDC88B,13.8412,19.828515,23.5702,18.8843,2.51784,2.105229,3.725673,2.035278
ECHDC3,13.7238,3.6493905,5.58902,3.47561,5.23246,2.1986055,4.4718135,3.0063285
