#Organism/Name	Size (Mb)	GC%	Genes	Proteins
Yersinia pestis CO92	4.82986	47.6065	4230	3979
Yersinia pestis KIM10+	4.70174	47.6558	4332	4163
Yersinia pestis Pestoides F	4.72586	47.6867	4397	4183
Staphylococcus aureus subsp. aureus NCTC 8325	2.82136	32.9	2872	2767
Staphylococcus aureus subsp. aureus N315	2.83947	32.7644	2861	2742
Staphylococcus epidermidis ATCC 12228	2.56461	32.0512	2558	2482
Lactococcus lactis subsp. lactis Il1403	2.36559	35.3	2406	2277
Bacillus cereus ATCC 14579	5.42708	35.3076	5494	5231
Clostridium perfringens str. 13	3.08574	28.5454	2777	2587
Listeria monocytogenes EGD-e	2.94453	38	3055	2867
Mycobacterium avium subsp. paratuberculosis K-10	4.82978	69.3	4457	4289
Mycobacterium bovis AF2122/97	4.34549	65.6	4001	3918
Tropheryma whipplei str. Twist	0.927303	46.3	898	839
Actinobacillus pleuropneumoniae serovar 5b str. L20	2.27448	41.3	2168	2042
Prochlorococcus marinus subsp. marinus str. CCMP1375	1.75108	36.4	1930	1882
Prochlorococcus marinus subsp. pastoris str. CCMP1986	1.65799	30.8	1830	1777
Haemophilus influenzae Rd KW20	1.83014	38.2	1765	1610
Mycobacterium tuberculosis H37Rv	4.41153	65.6	4008	3906
Mycobacterium tuberculosis H37Rv	4.41171	65.6	4132	4058
Mycobacterium tuberculosis H37Rv	4.41262	65.4	4128	4017
Escherichia coli str. K-12 substr. MG1655	4.64165	50.8	4498	4140
Escherichia coli O157:H7 str. Sakai	5.59448	50.4477	5448	5292
Escherichia coli IAI39	5.13207	50.6	5092	4725
Escherichia coli O83:H1 str. NRG 857C	4.89488	50.706	4690	4582
Escherichia coli O104:H4 str. 2011C-3493	5.43741	50.6346	5269	5149
Escherichia coli UMN026	5.3582	50.6405	5294	5010
Escherichia coli str. K-12 substr. MG1655	4.63897	50.8	4579	4405
Escherichia coli str. K-12 substr. MG1655	4.63897	50.8	4578	4404
Escherichia coli str. K-12 substr. MG1655	4.55647	50.7	4502	4342
Escherichia coli str. K-12 substr. MG1655	4.65614	50.8	4598	4406
Escherichia coli str. K-12 substr. MG1655	4.63892	50.8	4578	4404
Helicobacter pylori 26695	1.66787	38.9	1555	1445
Helicobacter pylori 26695	1.66789	38.9	1632	1538
Buchnera aphidicola str. APS (Acyrthosiphon pisum)	0.655725	26.3523	617	574
Chlamydophila pneumoniae CWL029	1.23023	40.6	1091	1029
Neisseria meningitidis MC58	2.27236	51.5	2104	1943
Xylella fastidiosa 9a5c	2.73175	52.6433	2487	2310
Pseudomonas putida KT2440	6.18186	61.5	5516	5350
Streptococcus pneumoniae R6	2.03862	39.7	1967	1814
Streptococcus pneumoniae TIGR4	2.16084	39.7	2287	2138
Streptococcus pneumoniae TIGR4	2.16334	39.7	2287	2147
Streptococcus pneumoniae TIGR4	2.0168	39.6	2066	1954
Streptococcus pneumoniae TIGR4	2.16224	39.7	2285	2141
Agrobacterium radiobacter K84	7.2733	59.8671	6831	6699
Leptospira interrogans serovar Lai str. 56601	4.69813	35.0076	3741	3683
Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130	4.62737	35	3961	3737
Fusobacterium nucleatum subsp. nucleatum ATCC 25586	2.1745	27.2	2062	1983
Fusobacterium nucleatum subsp. animalis 4_8	2.27546	27.0869	2153	2020
Fusobacterium nucleatum subsp. vincentii 3_1_36A2	2.26827	27.1	2182	2070
Bacillus anthracis str. Ames	5.22729	35.4	5636	5326
Bacillus anthracis str. Sterne	5.22866	35.4	5263	4952
Shigella flexneri 2a str. 301	4.82882	50.6659	4790	4315
Bifidobacterium longum NCC2705	2.26027	60.1075	1799	1728
Bifidobacterium longum DJO10A	2.38953	60.1182	2012	1916
Haemophilus somnus 129PT	2.01288	37.1943	1853	1754
Pseudomonas syringae pv. syringae B728a	6.0937	59.2	5220	5089
Streptococcus agalactiae 2603V/R	2.16027	35.6	2279	2127
Pseudomonas aeruginosa PAO1	6.2644	66.6	5697	5572
Pseudomonas aeruginosa PAO1	6.05818	66.4	5925	5120
Vibrio vulnificus CMCP6	5.1267	46.7159	4578	4374
Mycoplasma hyopneumoniae 232	0.892758	28.6	711	657
Streptococcus suis BM407	2.17081	41.0468	2136	1947
Streptococcus suis 05ZYH33	2.09631	41.1	2254	2186
Chlorobium phaeobacteroides DSM 266	3.1339	48.4	2850	2728
Arthrobacter aurescens TC1	5.22665	62.3869	4752	4627
Acinetobacter baumannii ATCC 17978	4.00146	38.8805	3905	3803
Anaplasma marginale str. St. Maries	1.19769	49.8	1011	938
Bacillus licheniformis DSM 13 = ATCC 14580	4.22264	46.2	4296	4161
Bacillus licheniformis DSM 13 = ATCC 14580	4.2226	46.2	4294	4158
Bacteroides fragilis YCH46	5.31099	43.2378	4717	4625
Shigella dysenteriae Sd197	4.56091	50.921	4834	4294
Legionella pneumophila subsp. pneumophila str. Philadelphia 1	3.39775	38.3	3003	2943
Shigella sonnei Ss046	5.05532	50.7587	5306	4808
Streptococcus thermophilus CNRZ1066	1.79623	39.1	1900	1694
Wolbachia endosymbiont strain TRS of Brugia malayi	1.08008	34.2	984	826
Synechococcus elongatus PCC 6301	2.69625	55.5	2663	2576
Shewanella baltica OS155	5.3429	46.2451	4727	4463
Shewanella baltica OS185	5.31291	46.2593	4608	4422
Shewanella baltica OS223	5.35888	46.2523	4612	4414
Shewanella putrefaciens CN-32	4.65922	44.5	4147	3974
Ehrlichia ruminantium str. Welgevonden	1.51635	27.5	962	916
Ehrlichia ruminantium str. Welgevonden	1.51298	27.5	964	912
Lactobacillus reuteri DSM 20016	1.99962	38.9	2018	1900
Bacillus pumilus SAFR-032	3.70446	41.3	3825	3681
Thermus thermophilus HB8	2.11606	69.4857	2245	2173
Thermus thermophilus HB27	2.12748	69.3781	2249	2138
Corynebacterium glutamicum ATCC 13032	3.3094	53.8	3057	2959
Corynebacterium glutamicum R	3.3633	54.0971	3149	2997
Corynebacterium glutamicum ATCC 13032	3.28271	53.8	3081	2974
Chlamydia trachomatis D/UW-3/CX	1.04252	41.3	935	887
Chlamydia trachomatis 434/Bu	1.03884	41.3	937	880
Mycoplasma genitalium G37	0.580076	31.7	557	507
Mycoplasma genitalium G37	0.560035	31.4	536	348
Burkholderia cenocepacia HI2424	7.70284	66.8004	6850	6724
Burkholderia pseudomallei K96243	7.24755	68.0502	5935	5726
Burkholderia mallei ATCC 23344	5.83553	68.5188	5506	5022
Burkholderia mallei SAVP1	5.2324	68.3653	4648	4461
Corynebacterium jeikeium K411	2.47682	61.3561	2160	2078
Ehrlichia chaffeensis str. Arkansas	1.17625	30.1	936	883
Nitrosococcus oceani ATCC 19707	3.52211	50.3241	3265	3149
Bacillus thuringiensis serovar konkukian str. 97-27	5.31479	35.3594	5343	5197
Ralstonia solanacearum GMI1000	5.81092	66.964	5012	4849
Candidatus Pelagibacter ubique HTCC1062	1.30876	29.7	1370	1333
Shigella boydii Sb227	4.64652	51.0964	5085	4540
Mycobacterium ulcerans Agy99	5.80576	65.5	4981	4160
Vibrio cholerae O1 biovar El Tor str. N16961	4.03346	47.4873	3693	3504
Rhodopseudomonas palustris CGA009	5.46764	64.9929	4951	4850
Rhodobacter sphaeroides 2.4.1	4.60298	68.7841	4474	4280
Rhodobacter sphaeroides 2.4.1	4.62817	68.7651	4337	4234
Rhodobacter sphaeroides 2.4.1	4.6066	68.7851	4320	4214
Yersinia pseudotuberculosis PB1/+	4.76543	47.459	4302	4112
Yersinia pseudotuberculosis IP 32953	4.8409	47.5404	4388	4188
Francisella tularensis subsp. tularensis SCHU S4	1.89278	32.3	1834	1556
Mycoplasma agalactiae PG2	0.877438	29.7	770	666
Leptospira borgpetersenii serovar Hardjo-bovis str. L550	3.93178	40.2	3667	3370
Brucella abortus bv. 1 str. 9-941	3.28645	57.2354	3184	3086
Mycoplasma capricolum subsp. capricolum ATCC 27343	1.01002	23.8	870	793
Bartonella bacilliformis KC583	1.44502	38.2	1266	1183
Xanthomonas axonopodis pv. citri str. 306	5.27417	64.7396	4507	4327
Campylobacter fetus subsp. fetus 82-40	1.77361	33.3	1776	1706
Xanthomonas oryzae pv. oryzae KACC 10331	4.94144	63.7	4568	4055
Streptococcus mitis B6	2.14661	40	2096	2002
Sodalis glossinidius str. 'morsitans'	4.2925	54.5066	4691	3572
Salinispora tropica CNB-440	5.18333	69.5	4627	4477
Thermotoga neapolitana DSM 4359	1.88456	46.9	1928	1829
Roseobacter denitrificans OCh 114	4.33123	58.9096	4078	3992
Ralstonia eutropha JMP134	7.25529	64.4539	6628	6452
Desulfitobacterium hafniense Y51	5.72753	47.4	5355	5164
Aeromonas salmonicida subsp. salmonicida A449	5.04054	58.1696	4690	4325
Oenococcus oeni PSU-1	1.78052	37.9	1799	1662
Coxiella burnetii RSA 493	2.03267	42.6375	2094	1853
Salinispora arenicola CNS-205	5.78636	69.5	4985	4844
Desulfovibrio vulgaris str. Hildenborough	3.77316	63.2394	3638	3535
Delftia acidovorans SPH-1	6.76751	66.5	6122	5975
Rickettsia bellii RML369-C	1.52208	31.6	1486	1372
Bacillus subtilis subsp. subtilis str. 168	4.21455	43.5	4431	4242
Bacillus subtilis subsp. subtilis str. 168	4.21561	43.5	4421	4175
Methanococcus maripaludis S2	1.66114	33.1	1774	1716
Ralstonia pickettii 12J	5.32573	63.6234	4959	4830
Lactobacillus helveticus DPC 4571	2.08093	37.1	2095	1776
Borrelia afzelii HLJ01	0.905471	28.3	850	730
Faecalibacterium prausnitzii L2-6	3.32137	56.6	2820	2756
Bifidobacterium adolescentis ATCC 15703	2.08964	59.2	1720	1613
Vibrio harveyi 1DA3	5.93002	45.6	5358	4982
Cenarchaeum symbiosum A	2.04509	57.4	2066	2017
Saccharopolyspora erythraea NRRL 2338	8.2128	71.1	7130	7005
Saccharopolyspora erythraea NRRL 2338	8.07908	71.2	7068	6786
Thermoanaerobacter ethanolicus CCSD1	2.20485	34.2	2238	1943
Vibrio parahaemolyticus RIMD 2210633	5.16577	45.4	4991	4831
Methylobacterium extorquens PA1	5.47115	68.2	4901	4750
Methylobacterium extorquens CM4	6.18073	68.0674	5589	5396
Lactococcus garvieae ATCC 49156	1.95013	38.8	1983	1885
Lactococcus garvieae ATCC 49156	1.95065	38.9	1973	1873
Lactococcus garvieae ATCC 49156	1.93211	38.7	1975	1885
Sulfolobus islandicus M.14.25	2.60883	35.1	2802	2682
Methylobacterium radiotolerans JCM 2831	6.89911	71.0375	6390	6239
Orientia tsutsugamushi str. Boryong	2.12705	30.5	2019	1565
Lactobacillus fermentum IFO 3956	2.09869	51.5	2099	1919
Clostridium kluyveri DSM 555	4.0238	32.0206	3893	3781
Porphyromonas gingivalis W83	2.34348	48.3	1977	1858
Gramella forsetii KT0803	3.79847	36.6	3429	3348
Ureaplasma parvum serovar 3 str. ATCC 700970	0.751719	25.5	646	593
Ureaplasma urealyticum serovar 10 str. ATCC 33699	0.874478	25.8	692	644
Mycoplasma mycoides subsp. mycoides SC str. PG1	1.2117	24	1053	1017
Burkholderia thailandensis E264	6.72397	67.6468	5835	5693
Burkholderia thailandensis E264	6.35434	67.6283	5475	5206
Phaeobacter gallaeciensis 2.10	4.16092	59.8003	3898	3809
Octadecabacter antarcticus 307	4.87548	54.5768	4992	4537
Vibrio fischeri ES114	4.27372	38.371	3985	3815
Burkholderia oklahomensis C6786	6.98761	67.1	6253	5744
Clostridium botulinum A str. Hall	3.76056	28.2	3499	3332
Clostridium botulinum A str. ATCC 3502	3.90326	28.1941	3786	3590
Burkholderia multivorans ATCC 17616	7.00862	66.6924	6318	6145
Burkholderia multivorans ATCC 17616	7.00881	66.6924	6314	6142
Ochrobactrum anthropi ATCC 49188	5.20578	56.1453	4994	4860
Rickettsia prowazekii str. Madrid E	1.11152	29	889	843
Borrelia burgdorferi B31	1.52121	28.1805	1568	1390
Treponema pallidum subsp. pallidum str. Nichols	1.13801	52.8	1044	970
Treponema pallidum subsp. pallidum str. Nichols	1.13963	52.8	1028	968
Rhizobium leguminosarum bv. viciae 3841	7.75131	60.8668	7357	7162
Anaeromyxobacter dehalogenans 2CP-C	5.01348	74.9	4501	4411
Clavibacter michiganensis subsp. michiganensis NCPPB 382	3.39524	72.5311	3153	3083
Methanococcus voltae A3	1.93639	28.6	1733	1656
Leptospira biflexa serovar Patoc strain 'Patoc 1 (Ames)'	3.95609	38.9019	3751	3686
Brucella canis ATCC 23365	3.31277	57.2364	3150	3016
Mycobacterium marinum M	6.66014	65.7077	5531	5426
Burkholderia ambifaria AMMD	7.52857	66.7904	6583	6439
Brucella suis 1330	3.31517	57.2364	3143	3021
Brucella suis 1330	3.31516	57.2364	3141	3021
Enterococcus faecalis V583	3.35997	37.3546	3412	3264
Enterococcus faecalis V583	3.3298	37.4	3411	3288
Enterococcus faecalis V583	3.36431	37.4	3453	3329
Bifidobacterium dentium Bd1	2.63637	58.5	2177	2091
Bradyrhizobium japonicum USDA 6	9.20738	63.7	8479	8192
Bradyrhizobium japonicum USDA 6	9.13114	63.7	8432	8176
Klebsiella pneumoniae subsp. pneumoniae HS11286	5.68232	57.1373	5867	5779
Klebsiella pneumoniae subsp. pneumoniae MGH 78578	5.69489	57.1666	5652	5453
Microcystis aeruginosa NIES-843	5.84279	42.3	5484	5120
Methanobrevibacter smithii ATCC 35061	1.85316	31	1792	1710
Streptococcus dysgalactiae subsp. equisimilis GGS_124	2.10634	39.6	2108	1965
Rhizobium etli CFN 42	6.53023	61.0458	6235	6001
Chromohalobacter salexigens DSM 3043	3.69665	63.9	3363	3233
Bartonella tribocorum CIP 105476	2.6424	38.8655	2369	2212
Bartonella tribocorum	2.63118	38.7661	2352	2189
Chthoniobacter flavus Ellin428	7.8487	61.1	6564	6270
Borrelia garinii BgVir	0.993811	28.2333	941	873
Borrelia garinii NMJW1	0.902789	28.4	846	802
Chlamydia psittaci 6BC	1.17921	39.0603	1021	976
Chlamydia psittaci 6BC	1.17922	39.0603	1026	979
Chlamydia psittaci 02DC15	1.17218	39.1	1021	972
Chlamydia psittaci 02DC15	1.20806	39.2	1050	986
Bifidobacterium animalis subsp. lactis AD011	1.93369	60.5	1614	1518
Streptococcus mutans UA159	2.03293	36.8	2042	1960
Neisseria gonorrhoeae FA 1090	2.15392	52.7	1989	1886
Enterococcus faecium DO	3.05257	37.9158	3209	3114
Yersinia frederiksenii ATCC 33641	4.88534	46.9	4389	4192
Yersinia kristensenii ATCC 33638	5.04239	47.4	4545	4250
Stenotrophomonas maltophilia K279a	4.85113	66.3	4458	4328
Bifidobacterium bifidum PRL2010	2.21466	62.7	1791	1706
Micrococcus luteus NCTC 2665	2.5011	73	2317	2230
Micrococcus luteus NCTC 2665	2.32059	73	2242	2014
Helicobacter pullorum MIT 98-5489	1.95167	34.3	1970	1840
Helicobacter canadensis MIT 98-5491	1.63349	33.8	1627	1490
Helicobacter canadensis MIT 98-5491	1.62384	33.7	1610	1538
Streptococcus equi subsp. zooepidemicus MGCS10565	2.02417	41.8	1896	1749
Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821	2.05636	46.3	1819	1746
Sulfolobus solfataricus P2	2.99225	35.8	3145	2896
Haemophilus parasuis SH0165	2.26916	40	2228	2046
Mycobacterium leprae TN	3.2682	57.8	2770	1605
Acetobacter pasteurianus IFO 3283-01	3.34025	53.0701	3148	3019
Pasteurella multocida subsp. multocida str. Pm70	2.25749	40.4	2090	2008
Lactobacillus rhamnosus GG	3.01011	46.7	2817	2703
Lactobacillus rhamnosus GG	3.00505	46.7	2814	2702
Francisella philomiragia subsp. philomiragia ATCC 25017	2.04971	32.5919	1983	1889
Thermomicrobium roseum DSM 5159	2.92074	64.2598	2664	2559
Fibrobacter succinogenes subsp. succinogenes S85	3.84264	48.1	3133	3058
Fibrobacter succinogenes subsp. succinogenes S85	3.843	48	3159	3078
Brucella pinnipedialis B2/94	3.39927	57.2	3263	3141
Brucella pinnipedialis B2/94	3.39867	57.1	3172	3064
Enterococcus casseliflavus EC20	3.42728	42.8	3175	3088
Enterococcus casseliflavus EC20	3.42887	42.8	3179	3090
Caulobacter crescentus CB15	4.01695	67.2	3819	3737
Caulobacter crescentus NA1000	4.04293	67.2	4084	3885
Brucella melitensis bv. 1 str. 16M	3.29493	57.2357	3149	2972
Brucella melitensis bv. 1 str. 16M	3.29125	57.2	3129	2981
Brucella melitensis bv. 1 str. 16M	3.28308	57.2	3142	3020
Dickeya dadantii Ech703	4.67945	55	4137	3970
Bacillus megaterium DSM 319	5.09745	38.1	5121	4858
Bacillus megaterium WSH-002	5.07529	38.1493	5114	4776
Burkholderia glumae BGR1	7.28464	67.9346	6234	5995
Catenibacterium mitsuokai DSM 15897	2.67131	36.8	2571	2412
Blautia hydrogenotrophica DSM 10507	3.62694	45.1	3462	3219
Marvinbryantia formatexigens DSM 14469	4.54896	49.6	4238	4011
Alistipes putredinis DSM 17216	2.55068	53.3	2379	2260
Anaerofustis stercorihominis DSM 17244	2.2847	33.3	2230	2144
Anaerotruncus colihominis DSM 17241	3.71969	54.2	3710	3555
Collinsella stercoris DSM 13279	2.47543	62.7	2085	1885
Ruminococcus lactaris ATCC 29176	2.73123	42.7	2513	2359
Bacteroides coprocola DSM 17136	4.30012	41.9	3818	3493
Bacteroides intestinalis DSM 17393	6.0526	42.8	4657	4512
Coprococcus comes ATCC 27758	3.24221	42.5	3228	2646
Streptococcus infantarius subsp. infantarius CJ18	2.00825	37.5743	2032	1765
Streptococcus infantarius subsp. infantarius ATCC BAA-102	1.92519	37.6	1934	1762
Clostridium sporogenes ATCC 15579	4.10233	28	3798	3620
Proteus penneri ATCC 35198	3.74923	37.8	4997	4909
Parvimonas micra ATCC 33270	1.70387	28.7	1638	1545
Actinomyces odontolyticus F0309	2.432	65.1	2096	1950
Pseudoflavonifractor capillosus ATCC 29799	4.24108	59.1	3935	3760
Ruminococcus gnavus ATCC 29149	3.50191	42.9	3455	3288
Subdoligranulum variabile DSM 15176	3.24547	57.9	3052	2886
Anaerostipes caccae DSM 14662	3.60694	44.3	3493	3345
Dorea longicatena DSM 13814	2.91543	41.4	2759	2612
Eubacterium ventriosum ATCC 27560	2.8708	34.9	2586	2442
Desulfovibrio piger ATCC 29098	2.86722	62.8	2487	2324
Bacteroides caccae ATCC 43185	4.56481	41.9	3660	3494
Collinsella aerofaciens ATCC 25986	2.43987	60.5	2167	2027
Bacteroides ovatus SD CMC 3f	6.77528	41.9	5419	5151
Parabacteroides merdae ATCC 43184	4.43438	45.3	3597	3414
Ruminococcus callidus ATCC 27760	3.09649	49	2793	2601
Coprococcus eutactus ATCC 27759	3.10299	43.1	2697	2588
Bacteroides stercoris ATCC 43183	4.00983	45.8	3358	3216
Treponema denticola ATCC 35405	2.8432	37.9	2838	2767
Azotobacter vinelandii DJ	5.36532	65.7	4793	4647
Mesorhizobium loti MAFF303099	7.5963	62.4657	7288	7065
Sinorhizobium meliloti 1021	6.69169	62.1591	6292	6218
Methylococcus capsulatus str. Bath	3.30456	63.6	3052	2960
Bordetella bronchiseptica 253	5.26438	68.1	4842	4781
Bordetella parapertussis Bpp5	4.89957	67.7798	4574	4184
Bordetella pertussis Tohama I	4.08619	67.7	3856	3425
Haemophilus ducreyi 35000HP	1.69895	38.2	1668	1509
Rickettsia conorii str. Malish 7	1.26876	32.4	1370	1227
Dichelobacter nodosus VCS1703A	1.38935	44.4	1335	1270
Nitrosomonas europaea ATCC 19718	2.81209	50.7	2687	2572
Acidithiobacillus ferrooxidans ATCC 53993	2.88504	58.9	2862	2755
Cytophaga hutchinsonii ATCC 33406	4.43322	38.8	3730	3662
Rhodospirillum rubrum ATCC 11170	4.40656	65.3317	3916	3837
Rhodospirillum rubrum F11	4.35283	65.4	3886	3802
Chloroflexus aurantiacus J-10-fl	5.25854	56.7	3990	3853
Deinococcus radiodurans R1	3.28416	66.6067	3238	3167
Streptococcus gordonii str. Challis substr. CH1	2.19666	40.5	2109	2003
Clostridium acetobutylicum ATCC 824	4.13288	30.9	3911	3778
Listeria innocua Clip11262	3.09311	37.3497	3171	3053
Corynebacterium diphtheriae HC02	2.46861	53.7	2285	2179
Mycobacterium smegmatis str. MC2 155	6.98821	67.4	6938	6717
Mycobacterium smegmatis str. MC2 155	6.98821	67.4	6792	6642
Thermobifida fusca YX	3.64225	67.5	3098	3017
Mycoplasma pneumoniae M129	0.816394	40	1061	691
Mycoplasma pulmonis UAB CTIP	0.963879	26.6	789	749
Methanocaldococcus jannaschii DSM 2661	1.73993	31.2688	1821	1770
Methanosarcina barkeri str. Fusaro	4.87377	39.2575	3975	3760
Archaeoglobus fulgidus DSM 4304	2.1784	48.6	2456	2353
Thermotoga maritima MSB8	1.86072	46.2	1928	1858
Thermotoga maritima MSB8	1.86964	46.2	1926	1872
Thermotoga maritima MSB8	1.86961	46.2	1928	1872
Pyrobaculum aerophilum str. IM2	2.22243	51.4	2706	2605
Mycoplasma penetrans HF-2	1.35863	25.7	1065	1022
Geobacter metallireducens GS-15	4.01118	59.476	3607	3508
Streptomyces avermitilis MA-4680 = NBRC 14893	9.11989	70.6845	7767	7426
Yersinia enterocolitica subsp. enterocolitica 8081	4.68362	47.2508	4259	4023
Geobacter sulfurreducens PCA	3.81413	60.9	3711	3430
